Default Dataset,,Dataset 1,,Dataset 2,
X,Y,X,Y,X,Y
176.2870061863955,413.77711484499673,179.82895113343,319.29463166904065,178.9368484558858,664.897180026481
547.8490427237765,905.4953565181179,542.4269422189758,687.2674071683035,539.7360488757437,1439.0763379146847
1754.1247453148746,1554.5932098652913,1728.1482405524123,1011.0914063292288,1771.6589788250099,2484.3316991774145
5397.360488757415,1392.2350877436415,5533.2534255312385,972.8008739571609,5786.540625012251,2003.5325715864515
16525.041110969807,802.0318529433122,18253.20338296532,409.2380889154381,17541.247453148746,1361.8577183348161
50594.54233009904,395.917583812711,54784.90427237759,230.60793745352012,61730.06869448542,588.9248503316328
135440.7843175261,204.25826598436174,181626.52159099205,84.98481187175626,191839.20456275073,253.27528596261013
334840.52404917113,91.30173740463052,518683.94791183685,22.248738378886213,534394.2432416225,106.54790386363702
720197.1590556545,36.147963271143915,1711044.6358789713,4.206802233336189,1771658.9788250062,17.551384370105712
1374766.5027873015,12.399756981291565,1780491.7135710542,1.0364989399684976,5588563.834835444,2.065237774084982
1798289.5113342982,8.244563449874441,5533253.425531227,1.0251288196895196,5533253.425531227,1.0364989399684976
1789368.4845588582,1.0138834266342442,,,,
