Default Dataset,,sfe100_50,,sfe100_100,
X,Y,X,Y,X,Y
5896.677711317314,0.7103422639075315,7316.270130391045,363.28744673623686,7074.271448539427,28.536391922827427
8027.591662762694,8.101462046409337,35529.39637039199,257.048840658184,34980.116452217146,32.25575403512732
11605.388354645544,11.141314390266977,173419.08821813122,76.04386159959009,176667.03935586318,13.981053774070816
17094.442901587256,31.010596849484116,878248.5030668189,7.101174803656738,892714.4799619988,6.99955487298442
24508.310566057764,22.26358780407152,891661.905668828,5.02453020876429,891707.6439513908,5.097476620463452
36230.3446211347,21.758034072006073,,,,
54187.12685828905,15.448134970856135,,,,
79289.58988098697,13.672532795987008,,,,
118682.18035895312,7.702400213103006,,,,
170542.1024492338,2.855139982100317,,,,
254835.66137504438,2.6406892014676147,,,,
385128.10304414044,1.9593031268963665,,,,
547704.6388743838,0.6873695495209589,,,,
839276.881242794,4.228832962368483,,,,
1227238.5969764497,4.563715473066194,,,,
1677988.396966209,0.6855308907320192,,,,
